Year,State,Collection,Pounds,Species,Confidentiality,Dollars
2017,ALABAMA,Commercial,287,CATFISHES-BULLHEADS,Public,182
2017,ALABAMA,Commercial,47,"HIND, SPECKLED",Public,182
2017,ALABAMA,Commercial,338,"RUDDERFISH, BANDED",Public,441
2017,ALABAMA,Commercial,384,"SNAPPER, GRAY",Public,963
2017,ALABAMA,Commercial,280,"SNAPPER, LANE",Public,621
2017,ALABAMA,Commercial,210,TRIPLETAIL,Public,242
2017,CALIFORNIA,Commercial,441,"CRAB, SOUTHERN TANNER",Public,17
2017,CALIFORNIA,Commercial,882,GIANT GRENADIER,Public,369
2017,CALIFORNIA,Commercial,220,"PRICKLEBACK, MONKEYFACE",Public,220
2017,CALIFORNIA,Commercial,441,RATFISH SPOTTED,Public,76
2017,CALIFORNIA,Commercial,220,"ROCKFISH, GREENBLOTCHED",Public,249
2017,CALIFORNIA,Commercial,661,"ROCKFISH, PACIFIC OCEAN PERCH",Public,204
2017,CALIFORNIA,Commercial,220,"ROCKFISH, SHORTBELLY",Public,3
2017,CALIFORNIA,Commercial,220,"ROCKFISH, SQUARESPOT",Public,713
2017,CALIFORNIA,Commercial,220,"ROCKFISH, YELLOWEYE",Public,493
2017,CALIFORNIA,Commercial,882,ROUGHEYE ROCKFISH,Public,442
2017,CALIFORNIA,Commercial,220,SQUIDS,Public,2
2017,CONNECTICUT,Commercial,40,ATLANTIC SILVERSIDE,Public,320
2017,CONNECTICUT,Commercial,55,"BONITO, ATLANTIC",Public,45
2017,CONNECTICUT,Commercial,75,CARIDEA,Public,450
2017,CONNECTICUT,Commercial,143,"CARP, COMMON",Public,143
2017,CONNECTICUT,Commercial,15,"CATFISH, CHANNEL",Public,2
2017,CONNECTICUT,Commercial,21,"CATFISHES-BULLHEADS, UNCLASSIFIED",Public,159
2017,CONNECTICUT,Commercial,78,"CRAB, ATLANTIC ROCK",Public,79
2017,CONNECTICUT,Commercial,796,"CRAB, JONAH",Public,433
2017,CONNECTICUT,Commercial,14,CUNNER,Public,15
2017,CONNECTICUT,Commercial,14,"DRUM, BLACK",Public,5
2017,CONNECTICUT,Commercial,367,"EEL, CONGER",Public,172
2017,CONNECTICUT,Commercial,544,HADDOCK,Public,477
2017,CONNECTICUT,Commercial,80,"HALIBUT, ATLANTIC",Public,560
2017,CONNECTICUT,Commercial,25,"JACK, CREVALLE",Public,10
2017,CONNECTICUT,Commercial,160,KILLIFISH FAMILY,Public,800
2017,CONNECTICUT,Commercial,120,KINGFISHES,Public,222
2017,CONNECTICUT,Commercial,92,LEATHERJACKETS,Public,141
2017,CONNECTICUT,Commercial,181,"MACKEREL, KING",Public,146
2017,CONNECTICUT,Commercial,246,MULLETS,Public,446
2017,CONNECTICUT,Commercial,20,OCEAN POUT,Public,6
2017,CONNECTICUT,Commercial,5,OCTOPUS,Public,13
2017,CONNECTICUT,Commercial,78,"PERCH, WHITE",Public,130
2017,CONNECTICUT,Commercial,12,"REDFISH, ACADIAN",Public,11
2017,CONNECTICUT,Commercial,3,"RUNNER, BLUE",Public,3
2017,CONNECTICUT,Commercial,505,"SEAROBIN, NORTHERN",Public,316
2017,CONNECTICUT,Commercial,4,"SEATROUT, SPOTTED",Public,7
2017,CONNECTICUT,Commercial,30,"SHAD, GIZZARD",Public,3
2017,CONNECTICUT,Commercial,16,"SHAD, HICKORY",Public,9
2017,CONNECTICUT,Commercial,-1,"SHRIMP, BROWN",Public,229
2017,CONNECTICUT,Commercial,1,SPOT,Public,1
2017,CONNECTICUT,Commercial,70,"SQUID, SHORTFIN ILLEX",Public,41
2017,CONNECTICUT,Commercial,3,"STARGAZER, NOTHERN",Public,1
